"CodLivro";"titulo";"codautor";"valor";"codeditora";"NomeEditora"
"13";"Princâpios de fisiologia animal";"8";"515.64";"13";"ABRAMOVAY, Ricardo"
"9";"Fundamentos de eletrônica";"46";"515.04";"13";"AMARAL, Luciano Do"
"93";"O verào das rosas";"39";"514.7";"13";"ALVES, Rubem"
"8";"Artesào de saberes";"47";"512.22";"13";"ASTOLFI,  Jean-pierre"
"45";"O texto estranho";"72";"511.84";"13";"BARROS, Regina Mambeli"
"28";"Limitaciones y usos del derecho de construir";"55";"496.59";"13";"BALTAR, Carlos Adolpho Magalhães"
"162";"Agente penitenciário";"5";"489.27";"1";"ABE, Jair Minoro"
"161";"O casamento da Bruxa Onilda";"36";"480.81";"1";"ALVARENGA, Beatriz Gonçalves De"
"168";"Direito social na Uniào Européia e Mercosul";"45";"480.8";"1";"AMARAL, Adriano Benayon Do"
"19";"Machinapolis e a caosmologia do ser";"31";"479.9";"13";"ALMEIDA, Rogério Henrique"
